self.updates = 40000
buffer_size = 2000
self.replay_start = 100   # train을 위한, experience_replay의 최소 크기.
self.replay_ratio= 4 # on-policy로 data생성 --> train 후, replay-buffer에 있는 data로 몇번 train할 것인가.


self.n_workers = 8
self.worker_steps = 128  # 각 episode를 worker_steps만큼씩 만들어 data를 생성할 것인지 결정.



2740 100 mean reard / episode-length: / 53.530 / 1495.090 elapsed: 4343 sec
2750 100 mean reard / episode-length: / 53.890 / 1499.460 elapsed: 4358 sec
2760 100 mean reard / episode-length: / 54.130 / 1500.360 elapsed: 4373 sec
2770 100 mean reard / episode-length: / 54.520 / 1511.230 elapsed: 4387 sec
2780 100 mean reard / episode-length: / 56.700 / 1550.500 elapsed: 4402 sec
2790 100 mean reard / episode-length: / 56.400 / 1538.970 elapsed: 4417 sec
2800 100 mean reard / episode-length: / 56.310 / 1538.300 elapsed: 4433 sec
2810 100 mean reard / episode-length: / 55.930 / 1533.010 elapsed: 4447 sec
2820 100 mean reard / episode-length: / 55.710 / 1524.120 elapsed: 4461 sec
2830 100 mean reard / episode-length: / 55.750 / 1517.140 elapsed: 4476 sec
2840 100 mean reard / episode-length: / 56.260 / 1520.200 elapsed: 4491 sec
2850 100 mean reard / episode-length: / 57.180 / 1539.080 elapsed: 4505 sec
2860 100 mean reard / episode-length: / 57.410 / 1544.520 elapsed: 4519 sec
2870 100 mean reard / episode-length: / 58.230 / 1559.300 elapsed: 4534 sec
2880 100 mean reard / episode-length: / 59.890 / 1579.670 elapsed: 4551 sec
2890 100 mean reard / episode-length: / 59.340 / 1567.190 elapsed: 4566 sec
2900 100 mean reard / episode-length: / 58.610 / 1546.980 elapsed: 4581 sec
2910 100 mean reard / episode-length: / 59.980 / 1572.470 elapsed: 4597 sec
2920 100 mean reard / episode-length: / 60.670 / 1595.130 elapsed: 4612 sec
2930 100 mean reard / episode-length: / 60.960 / 1594.630 elapsed: 4626 sec
2940 100 mean reard / episode-length: / 60.310 / 1575.890 elapsed: 4641 sec
2950 100 mean reard / episode-length: / 59.980 / 1576.260 elapsed: 4656 sec
2960 100 mean reard / episode-length: / 60.810 / 1588.490 elapsed: 4671 sec
2970 100 mean reard / episode-length: / 61.730 / 1605.960 elapsed: 4687 sec
2980 100 mean reard / episode-length: / 63.560 / 1624.620 elapsed: 4703 sec
2990 100 mean reard / episode-length: / 62.950 / 1624.210 elapsed: 4718 sec
3000 100 mean reard / episode-length: / 61.670 / 1605.050 elapsed: 4734 sec
3010 100 mean reard / episode-length: / 61.540 / 1595.500 elapsed: 4750 sec
3020 100 mean reard / episode-length: / 61.960 / 1595.180 elapsed: 4765 sec
3030 100 mean reard / episode-length: / 61.480 / 1591.580 elapsed: 4780 sec
3040 100 mean reard / episode-length: / 60.890 / 1584.580 elapsed: 4795 sec
3050 100 mean reard / episode-length: / 61.790 / 1595.060 elapsed: 4810 sec
3060 100 mean reard / episode-length: / 63.090 / 1614.480 elapsed: 4826 sec
3070 100 mean reard / episode-length: / 62.820 / 1616.500 elapsed: 4840 sec
3080 100 mean reard / episode-length: / 63.730 / 1623.160 elapsed: 4855 sec
3090 100 mean reard / episode-length: / 62.660 / 1608.930 elapsed: 4869 sec
3100 100 mean reard / episode-length: / 63.460 / 1629.510 elapsed: 4884 sec
3110 100 mean reard / episode-length: / 64.830 / 1655.720 elapsed: 4899 sec
3120 100 mean reard / episode-length: / 66.130 / 1697.440 elapsed: 4914 sec
3130 100 mean reard / episode-length: / 66.650 / 1697.930 elapsed: 4930 sec
3140 100 mean reard / episode-length: / 66.220 / 1709.940 elapsed: 4944 sec
3150 100 mean reard / episode-length: / 66.280 / 1718.770 elapsed: 4959 sec
3160 100 mean reard / episode-length: / 67.990 / 1741.800 elapsed: 4974 sec
3170 100 mean reard / episode-length: / 69.190 / 1772.040 elapsed: 4988 sec
3180 100 mean reard / episode-length: / 70.300 / 1791.420 elapsed: 5002 sec
3190 100 mean reard / episode-length: / 70.880 / 1829.730 elapsed: 5017 sec
3200 100 mean reard / episode-length: / 70.390 / 1821.690 elapsed: 5032 sec
3210 100 mean reard / episode-length: / 72.020 / 1844.410 elapsed: 5047 sec
3220 100 mean reard / episode-length: / 72.680 / 1849.550 elapsed: 5062 sec
3230 100 mean reard / episode-length: / 74.570 / 1893.840 elapsed: 5076 sec
3240 100 mean reard / episode-length: / 73.900 / 1880.700 elapsed: 5090 sec
3250 100 mean reard / episode-length: / 72.770 / 1889.600 elapsed: 5105 sec
3260 100 mean reard / episode-length: / 72.150 / 1882.160 elapsed: 5121 sec
3270 100 mean reard / episode-length: / 73.300 / 1895.150 elapsed: 5135 sec
3280 100 mean reard / episode-length: / 73.990 / 1901.850 elapsed: 5151 sec
3290 100 mean reard / episode-length: / 72.740 / 1878.530 elapsed: 5166 sec
3300 100 mean reard / episode-length: / 71.990 / 1841.410 elapsed: 5181 sec
3310 100 mean reard / episode-length: / 72.020 / 1848.650 elapsed: 5196 sec
3320 100 mean reard / episode-length: / 72.130 / 1836.180 elapsed: 5211 sec
3330 100 mean reard / episode-length: / 71.810 / 1834.100 elapsed: 5226 sec
3340 100 mean reard / episode-length: / 71.620 / 1831.160 elapsed: 5241 sec
3350 100 mean reard / episode-length: / 72.230 / 1839.800 elapsed: 5256 sec
3360 100 mean reard / episode-length: / 71.710 / 1822.760 elapsed: 5269 sec
3370 100 mean reard / episode-length: / 70.880 / 1807.730 elapsed: 5284 sec
3380 100 mean reard / episode-length: / 70.790 / 1799.210 elapsed: 5299 sec
3390 100 mean reard / episode-length: / 69.630 / 1784.680 elapsed: 5314 sec
3400 100 mean reard / episode-length: / 68.900 / 1782.870 elapsed: 5329 sec
3410 100 mean reard / episode-length: / 69.210 / 1783.310 elapsed: 5343 sec
3420 100 mean reard / episode-length: / 70.440 / 1784.220 elapsed: 5359 sec
3430 100 mean reard / episode-length: / 71.690 / 1811.510 elapsed: 5373 sec
3440 100 mean reard / episode-length: / 71.700 / 1822.140 elapsed: 5388 sec
3450 100 mean reard / episode-length: / 71.990 / 1829.370 elapsed: 5402 sec
